Text#, Origin_Text, Adversarial_Text, Origin_Mean, Origin_std, NoiseCoeff, L1NormNoise, L2NormNoise, LInfNormNoise, SNR(db),Corr_O_A, Corr_O_R, Corr_A_R, ConsistentByText, ConsistentByCorr_A_R, 
1, It was the best of times, i was the best of finds, -0.00,  0.12, 50, 51.962217,  0.386655,  0.009131, 34.02,  0.999802,  0.05,  0.05, 0, 0, 
2, it was the worst of times, i was the worst of times,  0.00,  0.13, 70, 41.950932,  0.306017,  0.007303, 36.95,  0.999899,  0.09,  0.09, 0, 0, 
3, it was the age of wisdom, if we let the age of wisdom,  0.00,  0.13, 70, 42.121831,  0.315020,  0.008150, 36.85,  0.999897,  0.12,  0.12, 0, 0, 
4, it was the age of foolishness, if we let the age of foolishness, -0.00,  0.14, 70, 50.818952,  0.354502,  0.008499, 36.83,  0.999896,  0.09,  0.09, 0, 0, 
5, it was the epoch of belief, it was the eve of the, -0.00,  0.14, 610,  5.185540,  0.038134,  0.001082, 55.63,  0.999999, -0.00, -0.00, 0, 0, 
6, it was the epoch of incredulity, it was the air of incredulity,  0.00,  0.15, 610,  6.210615,  0.043032,  0.000947, 55.73,  0.999999, -0.08, -0.08, 0, 0, 
7, it was the season of Light, if on the season of life, -0.00,  0.13, 10, 275.225065,  2.088261,  0.049410, 20.04,  0.995081, -0.02, -0.02, 0, 0, 
8, it was the season of Darkness, if we as the season of darkness, -0.00,  0.13, 30, 110.791536,  0.769329,  0.017781, 29.50,  0.999440, -0.02, -0.02, 0, 0, 
9, it was the spring of hope, it was the spring of old,  0.00,  0.13, 610,  4.413927,  0.034333,  0.000933, 55.71,  0.999999, -0.14, -0.14, 0, 0, 
10, it was the winter of despair, it was the winter of this pair, -0.00,  0.13, 610,  5.242646,  0.037469,  0.000955, 55.73,  0.999999, -0.14, -0.14, 0, 0, 
11, we had everything before us, he had everything before us,  0.00,  0.13, 10, 340.163271,  2.386782,  0.060567, 19.97,  0.994995, -0.11, -0.11, 0, 0, 
12, we had nothing before us, we have nothing before us,  0.00,  0.13, 30, 104.752941,  0.756394,  0.018460, 29.55,  0.999446, -0.26, -0.26, 0, 0, 
13, we were all going direct to Heaven, we were all going the rest to heaven, -0.00,  0.16, 610,  6.993828,  0.047444,  0.001080, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
14, we were all going direct the other way, we were all doing the rest the other way, -0.00,  0.17, 150, 32.647742,  0.214202,  0.004684, 43.57,  0.999978, -0.01, -0.01, 0, 0, 
15, in short the period was so far like the present period, in short the period was so far like the present periods, -0.00,  0.15, 210, 30.601754,  0.165030,  0.002926, 46.44,  0.999989,  0.04,  0.04, 0, 0, 
16, that some of its noisiest authorities insisted on its being received, that some of its noisiest that thorities insisted on its being received, -0.00,  0.14, 610, 11.856575,  0.058880,  0.000986, 55.69,  0.999999, -0.00, -0.00, 0, 0, 
17, for good or for evil in the superlative degree of comparison only, for good or for evil in missaperlytifdegreeof comparison only,  0.00,  0.15, 190, 39.919768,  0.201064,  0.003830, 45.54,  0.999986,  0.04,  0.04, 0, 0, 
18, There were a king with a large jaw and a queen with a plain face on the throne of England, there were looking with a large tin of lean with the plain face on the throne of england,  0.00,  0.15, 610, 14.203379,  0.067020,  0.001013, 55.73,  0.999999,  0.04,  0.04, 0, 0, 
19, there were a king with a large jaw and a queen with a fair face on the throne of France, there were looking with a large tin of lean with the fair face on the throne of friends,  0.00,  0.15, 610, 13.626402,  0.064513,  0.001038, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
20, In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, in those countries that was clearer than crystal to the lords of the state preserves of low sand fishes, -0.00,  0.14, 610, 15.659512,  0.065990,  0.000991, 55.70,  0.999999,  0.06,  0.06, 0, 0, 
21, that things in general were settled for ever, for things in general a fable for ever,  0.00,  0.15, 10, 467.964370,  2.946685,  0.070741, 20.01,  0.995044,  0.06,  0.06, 0, 0, 
22, It was the year of Our Lord one thousand seven hundred and seventy five, it was the year that a lord when thousand seven hundred and seventy five, -0.00,  0.14, 610, 13.245150,  0.062255,  0.001115, 55.65,  0.999999, -0.02, -0.02, 0, 0, 
23, Spiritual revelations were conceded to England at that favoured period as at this, spyingrigalalrevelations were conceded to england at the favor theory of as at to, -0.00,  0.15, 610, 14.773638,  0.066262,  0.001011, 55.75,  0.999999, -0.01, -0.01, 0, 0, 
24, Mrs Southcott had recently attained her five and twentieth blessed birthday, missus seuthgitadreasontlyotained her five and twentieth blessed birthday, -0.00,  0.14, 610, 13.453972,  0.061411,  0.000940, 55.68,  0.999999,  0.03,  0.03, 0, 0, 
25, of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster, of whom a prophetic private in the life bards have heralded the sublime appearance by announcing that arrangements were made for the swallowing up of london and westminster, -0.00,  0.15, 610, 27.959868,  0.092986,  0.001228, 55.70,  0.999999, -0.05, -0.05, 0, 0, 
26, Even the Cock lane ghost had been laid only a round dozen of years, even the copplainebhosetavbeenlaidonly round dozen of the years,  0.00,  0.16, 610, 12.276476,  0.062651,  0.001052, 55.76,  0.999999,  0.02,  0.02, 0, 0, 
27, after rapping out its messages as the spirits of this very year last past rapped out theirs, after rapping out its messages as the spirits of this very year last past threat out there, -0.00,  0.13, 610, 15.044002,  0.064488,  0.000988, 55.72,  0.999999,  0.04,  0.04, 0, 0, 
28, Mere messages in the earthly order of events had lately come to the English Crown and People, mere messages in the earth we order of events had lately come to the english crown and people,  0.00,  0.16, 250, 39.381738,  0.175096,  0.002522, 47.98,  0.999992,  0.01,  0.01, 0, 0, 
29, from a congress of British subjects in America, from the congress of brathy subjects in the marica, -0.00,  0.14, 610,  7.888654,  0.046795,  0.000918, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
30, which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cock lane brood, which strange to relate a proof more important to the human race than any communications he had received through any of the chickens of the coplainebrute, -0.00,  0.15, 610, 25.340520,  0.087884,  0.001077, 55.72,  0.999999, -0.00, -0.00, 0, 0, 
31, France less favoured on the whole as to matters spiritual than her sister of the shield and trident, friends less favoured on the whole as to matters by racial than her sister of the shield and friend,  0.00,  0.14, 610, 16.183935,  0.068080,  0.001014, 55.73,  0.999999, -0.02, -0.02, 0, 0, 
32, rolled with exceeding smoothness down hill making paper money and spending it, men with exceeding smoothness down hill making paper mode and spending it, -0.00,  0.15, 610, 13.939979,  0.065699,  0.001155, 55.72,  0.999999,  0.00,  0.00, 0, 0, 
33, Under the guidance of her Christian pastors she entertained herself, under the fiance of her christian passed through see and though taine herself, -0.00,  0.13, 610,  9.874241,  0.051633,  0.000926, 55.71,  0.999999,  0.00,  0.00, 0, 0, 
34, besides with such humane achievements as sentencing a youth to have his hands cut off, besides with such humanattyevementsassentencingteyouth to have his hands cut or, -0.00,  0.13, 610, 13.354463,  0.060088,  0.000919, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
35, his tongue torn out with pincers and his body burned alive, his them through an ounce with pincers and his body burned alive, -0.00,  0.14, 610, 10.037792,  0.053288,  0.000979, 55.71,  0.999999, -0.01, -0.01, 0, 0, 
36, because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view, because he had not kneeled down in the rain to the honour to a thirty procession of monks which passed within his view, -0.00,  0.14, 610, 17.774362,  0.071786,  0.001187, 55.73,  0.999999, -0.12, -0.12, 0, 0, 
37, at a distance of some fifty or sixty yards, at the distance of some fifty or sixty yards, -0.00,  0.13, 610,  7.846728,  0.045931,  0.000911, 55.67,  0.999999, -0.01, -0.01, 0, 0, 
38, It is likely enough that rooted in the woods of France and Norway, it is likely enough that ruled in the woods of france and more lad,  0.00,  0.15, 610, 11.431661,  0.060188,  0.000980, 55.70,  0.999999,  0.06,  0.06, 0, 0, 
39, there were growing trees when that sufferer was put to death already marked by the Woodman Fate, there were growing trees when that suffering was put to death already marked by the woodman fate,  0.00,  0.15, 610, 16.171247,  0.070803,  0.001113, 55.71,  0.999999, -0.12, -0.12, 0, 0, 
40, to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history, to come down and be sonny boards to make a certain movable framework with a sack and a knife and a terrible in history,  0.00,  0.15, 610, 20.601605,  0.078958,  0.001103, 55.71,  0.999999, -0.02, -0.02, 0, 0, 
41, It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris, it is likely enough that in the rough outhouses of some fellers of the heavy lands of jason to paris,  0.00,  0.14, 610, 15.405987,  0.066245,  0.001003, 55.73,  0.999999, -0.09, -0.09, 0, 0, 
42, there were sheltered from the weather that very day rude carts bespattered with rustic mire snuffed about by pigs, there were sheltered from the weather that very day rude carts bespattered with rusted mir nuff to bound by gates, -0.00,  0.14, 610, 18.770376,  0.073162,  0.000981, 55.69,  0.999999,  0.02,  0.02, 0, 0, 
43, and roosted in by poultry which the Farmer Death had already set apart to be his tumbrils of the Revolution, and lose it in by poultry which the farmer death had already set apart to be his temples of the revolution,  0.00,  0.14, 610, 17.950824,  0.072722,  0.001039, 55.75,  0.999999, -0.05, -0.05, 0, 0, 
44, But that Woodman and that Farmer though they work unceasingly work silently, but that would mean that farmer though they were conceasinglyworksilently,  0.00,  0.15, 610, 13.256342,  0.063827,  0.001145, 55.70,  0.999999,  0.01,  0.01, 0, 0, 
45, and no one heard them as they went about with muffled tread, and the wind heard them as they went about with muffled tread, -0.00,  0.14, 50, 112.508724,  0.638124,  0.014055, 33.97,  0.999800, -0.08, -0.08, 0, 0, 
46, the rather forasmuch as to entertain any suspicion that they were awake was to be atheistical and traitorous, the rather forth must as to entertain them he suspicion that they were awake was to be at these degalanphradoros,  0.00,  0.14, 610, 18.376616,  0.073539,  0.001042, 55.70,  0.999999, -0.06, -0.06, 0, 0, 
47, In England there was scarcely an amount of order and protection to justify much national boasting, in england there was scarcely in the mount of order and protection to justify much national boasting, -0.00,  0.15, 610, 16.614431,  0.071124,  0.001080, 55.69,  0.999999,  0.01,  0.01, 0, 0, 
48, Daring burglaries by armed men and highway robberies took place in the capital itself every night, daring burglaries by armed men and highway robberies to the place in the capital itself every night,  0.00,  0.15, 610, 17.013278,  0.072252,  0.001037, 55.70,  0.999999, -0.06, -0.06, 0, 0, 
49, families were publicly cautioned not to go out of town without removing their furniture to upholsterers' warehouses for security, families were publicly cautioned not to be out of town without removing their furniture to a cool stores warehouses for security,  0.00,  0.15, 610, 23.043247,  0.083854,  0.001146, 55.72,  0.999999,  0.00,  0.00, 0, 0, 
50, the highwayman in the dark was a City tradesman in the light, the hind maman in the dark was a city tradesman in the light, -0.00,  0.15, 610, 10.053108,  0.055688,  0.001084, 55.71,  0.999999,  0.00,  0.00, 0, 0, 
51, and being recognised and challenged by his fellow tradesman whom he stopped in his character of the Captain, and being recognized and fell in by his fellow tradesmen whom he stopped in his carracther of the captain, -0.00,  0.14, 610, 17.150494,  0.069743,  0.001083, 55.68,  0.999999, -0.02, -0.02, 0, 0, 
52, gallantly shot him through the head and rode away, gallantly shot in through the head and rode away, -0.00,  0.15, 610,  8.393029,  0.050625,  0.001100, 55.72,  0.999999,  0.04,  0.04, 0, 0, 
53, the mail was waylaid by seven robbers and the guard shot three dead, the mail was waylaid by seven others and the guard shot three dead,  0.00,  0.15, 610, 12.013508,  0.060925,  0.001113, 55.66,  0.999999,  0.01,  0.01, 0, 0, 
