Text#, Origin_Text, Adversarial_Text, Origin_Mean, Origin_std, NoiseCoeff, SNR(db), Corr_O_A, Corr_O_R, Corr_A_R, ConsistentByText, ConsistentByCorr_A_R, 
1, It was the best of times, it was the best of fines, -0.00,  0.12, 70, 36.92,  0.999899, -0.03, -0.03, 0, 0, 
2, it was the worst of times, it was the worst of fines,  0.00,  0.13, 290, 49.20,  0.999994,  0.04,  0.04, 0, 0, 
3, it was the age of wisdom, if we as the age of wisdom,  0.00,  0.13, 50, 33.96,  0.999799, -0.01, -0.01, 0, 0, 
4, it was the age of foolishness, i was the age of foolishness, -0.00,  0.14, 70, 36.84,  0.999897,  0.02,  0.02, 0, 0, 
5, it was the epoch of belief, it was the eve of the life, -0.00,  0.14, 610, 55.68,  0.999999, -0.08, -0.08, 0, 0, 
6, it was the epoch of incredulity, it was the air of incredulity,  0.00,  0.15, 610, 55.73,  0.999999, -0.08, -0.08, 0, 0, 
7, it was the season of Light, if as the season of life, -0.00,  0.13, 30, 29.54,  0.999444,  0.11,  0.11, 0, 0, 
8, it was the season of Darkness, if in the season of the mess, -0.00,  0.13, 10, 19.94,  0.994961,  0.00,  0.00, 0, 0, 
9, it was the spring of hope, it was the spring of old,  0.00,  0.13, 610, 55.65,  0.999999, -0.14, -0.14, 0, 0, 
10, it was the winter of despair, it was the winter of this car, -0.00,  0.13, 610, 55.72,  0.999999, -0.04, -0.04, 0, 0, 
11, we had everything before us, he had everything before us,  0.00,  0.13, 10, 20.01,  0.995061, -0.11, -0.11, 0, 0, 
12, we had nothing before us, he had nothing before us,  0.00,  0.13, 10, 20.04,  0.995069, -0.02, -0.02, 0, 0, 
13, we were all going direct to Heaven, we were all going the rest to heaven, -0.00,  0.16, 610, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
14, we were all going direct the other way, we were all doing the rest the other way, -0.00,  0.17, 150, 43.45,  0.999977, -0.01, -0.01, 0, 0, 
15, in short the period was so far like the present period, in short the period was so far like the present periods, -0.00,  0.15, 130, 42.29,  0.999971,  0.04,  0.04, 0, 0, 
16, that some of its noisiest authorities insisted on its being received, that some of its noisiest that thorities insisted on its being received, -0.00,  0.14, 610, 55.70,  0.999999, -0.00, -0.00, 0, 0, 
17, for good or for evil in the superlative degree of comparison only, for good or for evil in missapperlitivedebreeofcomparison only,  0.00,  0.15, 170, 44.59,  0.999983, -0.03, -0.03, 0, 0, 
18, There were a king with a large jaw and a queen with a plain face on the throne of England, there were looking with a large tin of lean with the plain face on the throne of england,  0.00,  0.15, 610, 55.74,  0.999999,  0.04,  0.04, 0, 0, 
19, there were a king with a large jaw and a queen with a fair face on the throne of France, there were looking with a large tin of lean with the fair face on the throne of friends,  0.00,  0.15, 610, 55.68,  0.999999, -0.01, -0.01, 0, 0, 
20, In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, in those countries that was clearer than crystal to the lords of the state preserves of low sand fishes, -0.00,  0.14, 610, 55.69,  0.999999,  0.06,  0.06, 0, 0, 
21, that things in general were settled for ever, for things in general were settled for ever,  0.00,  0.15, 10, 20.00,  0.995043,  0.07,  0.07, 0, 0, 
22, It was the year of Our Lord one thousand seven hundred and seventy five, it was the year that a lord when thousand seven hundred and seventy five, -0.00,  0.14, 610, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
23, Spiritual revelations were conceded to England at that favoured period as at this, spyingrigalalrevelations were conceded to england at the favour theory of as at to, -0.00,  0.15, 610, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
24, Mrs Southcott had recently attained her five and twentieth blessed birthday, missus southgitadreasontlyotained her five and twentieth blessed birthday, -0.00,  0.14, 610, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
25, of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster, of whom a prophetic private in the life arts have heralded the sublime appearance by announcing that arrangements were made for the swallowing up of london and westminster, -0.00,  0.15, 610, 55.71,  0.999999, -0.01, -0.01, 0, 0, 
26, Even the Cock lane ghost had been laid only a round dozen of years, even the complain those had been laid only a round dozen of the years,  0.00,  0.16, 610, 55.73,  0.999999,  0.06,  0.06, 0, 0, 
27, after rapping out its messages as the spirits of this very year last past rapped out theirs, after rapping out its messages as the spirits of this very year last past threatounttheres, -0.00,  0.13, 610, 55.70,  0.999999, -0.03, -0.03, 0, 0, 
28, Mere messages in the earthly order of events had lately come to the English Crown and People, her message is in the earthly order of events had lately come to the english crown and people,  0.00,  0.16, 130, 42.27,  0.999970, -0.05, -0.05, 0, 0, 
29, from a congress of British subjects in America, from the canvass of brathy subjects in the marica, -0.00,  0.14, 610, 55.72,  0.999999, -0.05, -0.05, 0, 0, 
30, which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cock lane brood, which strange to relate a proof more important to the human race than any communications he had received through any of the chickens of the coplainebrut, -0.00,  0.15, 610, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
31, France less favoured on the whole as to matters spiritual than her sister of the shield and trident, friends less favoured on the whole as to matters by racial than her sister of the shield and friend,  0.00,  0.14, 610, 55.67,  0.999999, -0.02, -0.02, 0, 0, 
32, rolled with exceeding smoothness down hill making paper money and spending it, lit with exceeding smoothness down hill making paper mode and spending it, -0.00,  0.15, 610, 55.70,  0.999999, -0.03, -0.03, 0, 0, 
33, Under the guidance of her Christian pastors she entertained herself, under the fiance of her christian passed through see and though taine herself, -0.00,  0.13, 610, 55.74,  0.999999,  0.00,  0.00, 0, 0, 
34, besides with such humane achievements as sentencing a youth to have his hands cut off, besides with such humanattyevementsassentencing ve his hands cut o, -0.00,  0.13, 610, 55.76,  0.999999,  0.00,  0.00, 0, 0, 
35, his tongue torn out with pincers and his body burned alive, his tone to an ounce with pincers and his body burned alive, -0.00,  0.14, 610, 55.74,  0.999999, -0.15, -0.15, 0, 0, 
36, because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view, because he had not kneeled down in the rain to the honour to a dirty procession of months which passed within his view, -0.00,  0.14, 610, 55.70,  0.999999, -0.04, -0.04, 0, 0, 
37, at a distance of some fifty or sixty yards, at the distance of some fifty or sixty yards, -0.00,  0.13, 610, 55.71,  0.999999, -0.01, -0.01, 0, 0, 
38, It is likely enough that rooted in the woods of France and Norway, it is likely enough that ruled in the woods of france and more lad,  0.00,  0.15, 610, 55.67,  0.999999,  0.06,  0.06, 0, 0, 
39, there were growing trees when that sufferer was put to death already marked by the Woodman Fate, there were growing trees win that suffer was put to death already marked by the woodman fat,  0.00,  0.15, 610, 55.72,  0.999999, -0.00, -0.00, 0, 0, 
40, to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history, to come down and be sonny boards to make a certain movable framework with a sack and a knife and a terrible in history,  0.00,  0.15, 610, 55.66,  0.999999, -0.02, -0.02, 0, 0, 
41, It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris, it is likely enough that in the rough outhouses of some fellers of the heavy lands of jason to paris,  0.00,  0.14, 610, 55.72,  0.999999, -0.09, -0.09, 0, 0, 
42, there were sheltered from the weather that very day rude carts bespattered with rustic mire snuffed about by pigs, there were sheltered from the weather that very day rod carts best pattered with rusted mir nuff to bound by gate, -0.00,  0.14, 610, 55.71,  0.999999,  0.03,  0.03, 0, 0, 
43, and roosted in by poultry which the Farmer Death had already set apart to be his tumbrils of the Revolution, and lose it in by poultry which the farmer death had already set apart to be his temples of the revolution,  0.00,  0.14, 610, 55.72,  0.999999, -0.05, -0.05, 0, 0, 
44, But that Woodman and that Farmer though they work unceasingly work silently, but that would mean that farmer though they were conceasinglyworksilently,  0.00,  0.15, 610, 55.69,  0.999999,  0.01,  0.01, 0, 0, 
45, and no one heard them as they went about with muffled tread, and the wind heard them as they went about with muffled tread, -0.00,  0.14, 30, 29.56,  0.999448, -0.08, -0.08, 0, 0, 
46, the rather forasmuch as to entertain any suspicion that they were awake was to be atheistical and traitorous, the rather forth must as to entertain them he suspicion that they were awake was to be at the sedegalanphradoros,  0.00,  0.14, 610, 55.69,  0.999999, -0.03, -0.03, 0, 0, 
47, In England there was scarcely an amount of order and protection to justify much national boasting, in england there was scarcely in the mount of order and protection to justify much national boasting, -0.00,  0.15, 610, 55.68,  0.999999,  0.01,  0.01, 0, 0, 
48, Daring burglaries by armed men and highway robberies took place in the capital itself every night, daring burglaries by armed men and high way robberies to the place in the capital itself every night,  0.00,  0.15, 610, 55.74,  0.999999,  0.08,  0.08, 0, 0, 
49, families were publicly cautioned not to go out of town without removing their furniture to upholsterers' warehouses for security, families were publicly cautioned not to be out of town without removing their furniture to a cool stores warehouses for security,  0.00,  0.15, 610, 55.70,  0.999999,  0.00,  0.00, 0, 0, 
50, the highwayman in the dark was a City tradesman in the light, the hind maman in the dark was a city tradesman in the light, -0.00,  0.15, 610, 55.71,  0.999999,  0.00,  0.00, 0, 0, 
51, and being recognised and challenged by his fellow tradesman whom he stopped in his character of the Captain, and being recognized and fell in by his fellow tradesmen whom he stopped in his carracther of the captain, -0.00,  0.14, 610, 55.75,  0.999999, -0.02, -0.02, 0, 0, 
52, gallantly shot him through the head and rode away, gallantly shot in through the head and rode away, -0.00,  0.15, 610, 55.67,  0.999999,  0.04,  0.04, 0, 0, 
53, the mail was waylaid by seven robbers and the guard shot three dead, the mail was waylaid by seven others and the guard shot three dead,  0.00,  0.15, 610, 55.70,  0.999999,  0.01,  0.01, 0, 0, 
54, and then got shot dead himself by the other four, and then baba that himself by the other four, -0.00,  0.14, 610, 55.69,  0.999999, -0.03, -0.03, 0, 0, 
55, in consequence of the failure of his ammunition after which the mail was robbed in peace, in consequence of the failure of his ammunition after which the mail was robbed in geese,  0.00,  0.15, 450, 53.07,  0.999998,  0.00,  0.00, 0, 0, 
56, that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green, that magnificent potentate lord mayor of london was made to stand and deliver on turn and breen,  0.00,  0.15, 610, 55.73,  0.999999, -0.01, -0.01, 0, 0, 
57, by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys, by wonhindwaymenthodespointlteelustriousgreeturinsideofall his retenue prisoners in london jails fought battles with their term bees, -0.00,  0.15, 610, 55.73,  0.999999,  0.01,  0.01, 0, 0, 
58, and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball, and the majesty of the law fired blunderbusses in the mong them loaded with rounds of shot and ball, -0.00,  0.15, 290, 49.27,  0.999994, -0.00, -0.00, 0, 0, 
59, thieves snipped off diamond crosses from the necks of noble lords at Court drawing rooms, he sniped at timon crosses from the next of noble lords at court throwing rooms, -0.00,  0.15, 610, 55.73,  0.999999,  0.02,  0.02, 0, 0, 
60, musketeers went into St Giles's to search for contraband goods, must these went into saint giles is to search for contriventboods,  0.00,  0.13, 610, 55.73,  0.999999, -0.05, -0.05, 0, 0, 
61, and the mob fired on the musketeers and the musketeers fired on the mob, and the mad fired on the musketeers and the musketeers fire on the m, -0.00,  0.15, 610, 55.73,  0.999999, -0.04, -0.04, 0, 0, 
